link,price,actual_price,ratings,color,Brand,Model,Processor,RAM,Storage
https://www.daraz.com.np/products/asus-expertbook-i5-8gb-512-ssd-14-fhd-i127907000.html,81999.0,81999.0,5.0,Multicolor,Asus,ExpertBook I5,Unknown,Unknown,Unknown
https://www.daraz.com.np/products/lenovo-ideapad-1-intel-celeron-processor-4-gb-ram-128-gb-ssd-14-inch-display-ote-i120789072.html,36000.0,45000.0,1.0,Silver,Lenovo,Ideapad 1 Intel Celeron Processor 4 GB RAM 128 GB SSD 14 inch Display,Unknown,Unknown,Unknown
https://www.daraz.com.np/products/acer-swift-go-14-ryzen-5-7530u-16-gb-ddr4-ram-512-gb-ssd14-fhd-ipsamd-radeon-gfx-backlit-keyboard-win-11-i132164384.html,89990.0,99900.0,1.0,Silver,Acer,Swift Go 14 Ryzen 5,AMD Radeon,Unknown,Unknown
https://www.daraz.com.np/products/lenovo-ip-3-slim-3-core-i3-13th-gen8-gb-ddr5-ram256-gb-ssd156-fhd-win-11-i128273615.html,53990.0,74990.0,1.0,Artic Gray,Lenovo,IP 3 Slim 3 Core ,i3 13th Gen,Unknown,Unknown
https://www.daraz.com.np/products/acer-aspire-3-ryzen-5-7520u-8-gb-ddr5-ram-512-gb-ssd-nvme156-fhdwin-11-i128901899.html,62500.0,89900.0,1.0,Silver,Acer,Aspire 3,Unknown,Unknown,Unknown
https://www.daraz.com.np/products/acer-aspire-5-intel-core-i5-13th-gen-8gb-ram-512gb-ssd-156fhd-i128041232.html,76997.0,85000.0,1.0,Multicolor,Acer,Aspire 5 Intel Core ,i5 13th Gen,Unknown,512GB SSD
https://www.daraz.com.np/products/acer-aspire-3-al14-31p-ultraslimbook-i3-n305-8gb-ram-512gb-ss-14fhd-sliver-color-i129691037.html,54897.0,58000.0,1.0,Silver,Acer,Aspire 3 AL14,i3,8GB RAM,Unknown
https://www.daraz.com.np/products/acer-nitro-v-15-intel-core-i5-13th-gen-13420h-8gb-ddr5-ram-512gb-nvme-ssd-nvidia-rtx-3050-6gb-graphics-156-fhd-144hz-display-backlit-keyboard-black-i128519019.html,107999.0,135000.0,0.0,Black,Acer,Nitro V 15 Intel Core ,i5 13th Gen,Unknown,Unknown
https://www.daraz.com.np/products/dell-vostro-3520-i3-12th-gen-8gb-512ssd-156-fhd-120hz-screen-i129434941.html,51490.0,55000.0,1.0,Black,Dell,Vostro 3520 ,i3 12th Gen,Unknown,Unknown
https://www.daraz.com.np/products/hp-victus-15-fb1013dx-amd-ryzen-5-7535hs-processor-8gb-ram-512gb-storage-nvidia-rtx-2050-graphics-156-inch-fhd-144hz-display-i129862643.html,95000.0,95000.0,1.0,Black,HP,Victus 15,AMD Ryzen,8GB RAM,Unknown
